key,en,context
"home_emergencysossystem","home.emergencySOSSystem","app\page.tsx"
"home_emergencysosdescription","home.emergencySOSDescription","app\page.tsx"
"home_emergencyresponsecenter","home.emergencyResponseCenter","app\page.tsx"
"home_emergencyresponsecenterdescription","home.emergencyResponseCenterDescription","app\page.tsx"
"safetyguidelines","safetyGuidelines","app\safety\page.tsx"
"safetysubtitle","safetySubtitle","app\safety\page.tsx"
"emergencyprotocols","emergencyProtocols","app\safety\page.tsx"
"privacypolicy","privacyPolicy","app\safety\page.tsx; app\join\page.tsx"
"downloadpdf","downloadPDF","app\safety\page.tsx"
"criticalreminder","criticalReminder","app\safety\page.tsx"
"criticalremindertext","criticalReminderText","app\safety\page.tsx"
"emergencysafetyprotocols","emergencySafetyProtocols","app\safety\page.tsx"
"dosanddonts","dosAndDonts","app\safety\page.tsx"
"thingstodo","thingsToDo","app\safety\page.tsx"
"thingsnottodo","thingsNotToDo","app\safety\page.tsx"
"privacydatahandling","privacyDataHandling","app\safety\page.tsx"
"yourprivacymatters","yourPrivacyMatters","app\safety\page.tsx"
"privacydescription","privacyDescription","app\safety\page.tsx"
"gdprcompliance","gdprCompliance","app\safety\page.tsx"
"gdprtext","gdprText","app\safety\page.tsx"
"right1","right1","app\safety\page.tsx"
"right2","right2","app\safety\page.tsx"
"right3","right3","app\safety\page.tsx"
"right4","right4","app\safety\page.tsx"
"right5","right5","app\safety\page.tsx"
"legaldisclaimers","legalDisclaimers","app\safety\page.tsx"
"fullterms","fullTerms","app\safety\page.tsx"
"legalpage","legalPage","app\safety\page.tsx"
"lastupdated","lastUpdated","app\safety\page.tsx"
"responderbestpractices","responderBestPractices","app\safety\page.tsx"
"responderguidelines","responderGuidelines","app\safety\page.tsx"
"responderguidelinesdesc","responderGuidelinesDesc","app\safety\page.tsx"
"downloadguidelines","downloadGuidelines","app\safety\page.tsx"
"downloadguidelinesdesc","downloadGuidelinesDesc","app\safety\page.tsx"
"questionsorconcerns","questionsOrConcerns","app\safety\page.tsx"
"supportteamavailable","supportTeamAvailable","app\safety\page.tsx"
"contactsupport","contactSupport","app\safety\page.tsx; app\docs\page.tsx; app\contact\page.tsx"
"viewdocumentation","viewDocumentation","app\safety\page.tsx"
"becomeverifiedresponder","becomeVerifiedResponder","app\responders\page.tsx; app\join\page.tsx"
"joinrespondernetwork","joinResponderNetwork","app\responders\page.tsx"
"backgroundverified","backgroundVerified","app\responders\page.tsx; app\join\page.tsx"
"trustscored","trustScored","app\responders\page.tsx"
"24_7support","24/7Support","app\responders\page.tsx"
"startverificationprocess","startVerificationProcess","app\responders\page.tsx"
"responders","Responders","app\responders\page.tsx"
"verified","Verified","app\responders\page.tsx"
"verifiedrespondersonly","verifiedRespondersOnly","app\portal\page.tsx"
"responderportal","responderPortal","app\portal\page.tsx"
"responderportaldesc","responderPortalDesc","app\portal\page.tsx"
"notresponderyet","notResponderYet","app\portal\page.tsx"
"applynow","applyNow","app\portal\page.tsx"
"tojoinnetwork","toJoinNetwork","app\portal\page.tsx"
"signintoportal","signInToPortal","app\portal\page.tsx"
"accessdashboard","accessDashboard","app\portal\page.tsx"
"email","email","app\portal\page.tsx; app\contact\page.tsx; components\auth\login-form.tsx"
"emailplaceholder","emailPlaceholder","app\portal\page.tsx; app\join\page.tsx; app\contact\page.tsx; components\auth\login-form.tsx"
"password","password","app\portal\page.tsx; components\auth\login-form.tsx"
"rememberme","rememberMe","app\portal\page.tsx; components\auth\login-form.tsx"
"forgotpassword","forgotPassword","app\portal\page.tsx; components\auth\login-form.tsx"
"signingin","signingIn","app\portal\page.tsx; components\auth\login-form.tsx"
"signin","signIn","app\portal\page.tsx; components\auth\login-form.tsx"
"newtoglobesos","newToGlobeSoS","app\portal\page.tsx"
"applyasresponder","applyAsResponder","app\portal\page.tsx"
"securelogin","secureLogin","app\portal\page.tsx"
"securelogindesc","secureLoginDesc","app\portal\page.tsx"
"portalfeatures","portalFeatures","app\portal\page.tsx"
"portalfeaturesdesc","portalFeaturesDesc","app\portal\page.tsx"
"howitworks","howItWorks","app\portal\page.tsx; app\docs\page.tsx; components\sos-interface-v2.tsx"
"responderworkflow","responderWorkflow","app\portal\page.tsx"
"receivealert","receiveAlert","app\portal\page.tsx"
"receivealertdesc","receiveAlertDesc","app\portal\page.tsx"
"reviewdetails","reviewDetails","app\portal\page.tsx"
"reviewdetailsdesc","reviewDetailsDesc","app\portal\page.tsx"
"communicatevictim","communicateVictim","app\portal\page.tsx"
"communicatevictimdesc","communicateVictimDesc","app\portal\page.tsx"
"respondonsite","respondOnSite","app\portal\page.tsx"
"respondonsitedesc","respondOnSiteDesc","app\portal\page.tsx"
"documentresolve","documentResolve","app\portal\page.tsx"
"documentresolvedesc","documentResolveDesc","app\portal\page.tsx"
"readytomakedifference","readyToMakeDifference","app\portal\page.tsx"
"jointhousandsofresponders","joinThousandsOfResponders","app\portal\page.tsx"
"learnmore","learnMore","app\portal\page.tsx"
"emergencymap","emergencyMap","app\map\page.tsx"
"findnearbyresponders","findNearbyResponders","app\map\page.tsx"
"error","error","app\join\page.tsx; app\contact\page.tsx; components\sos-interface.tsx; components\sos-interface-v2.tsx"
"filetoolarge20mb","fileTooLarge20MB","app\join\page.tsx"
"joinglobalnetwork","joinGlobalNetwork","app\join\page.tsx"
"joinnetworkdesc","joinNetworkDesc","app\join\page.tsx"
"professionaltools","professionalTools","app\join\page.tsx"
"globalimpact","globalImpact","app\join\page.tsx"
"whocanjoin","whoCanJoin","app\join\page.tsx"
"whocanjoindesc","whoCanJoinDesc","app\join\page.tsx"
"ngos","ngos","app\join\page.tsx; components\nearby-emergency-resources.tsx"
"ngosdesc","ngosDesc","app\join\page.tsx"
"hospitals","hospitals","app\join\page.tsx; components\nearby-emergency-resources.tsx"
"hospitalsdesc","hospitalsDesc","app\join\page.tsx"
"rescueteams","rescueTeams","app\join\page.tsx"
"rescueteamsdesc","rescueTeamsDesc","app\join\page.tsx"
"volunteers","volunteers","app\join\page.tsx; components\map-view.tsx"
"volunteersdesc","volunteersDesc","app\join\page.tsx"
"benefitsofjoining","benefitsOfJoining","app\join\page.tsx"
"verificationprocess","verificationProcess","app\join\page.tsx"
"verificationprocessdesc","verificationProcessDesc","app\join\page.tsx"
"submitapplication","submitApplication","app\join\page.tsx; app\docs\page.tsx"
"applicationformdesc","applicationFormDesc","app\join\page.tsx"
"organizationtype","organizationType","app\join\page.tsx"
"selecttype","selectType","app\join\page.tsx"
"ngo","ngo","app\join\page.tsx"
"hospital","hospital","app\join\page.tsx; components\map-view.tsx"
"rescueteam","rescueTeam","app\join\page.tsx"
"volunteer","volunteer","app\join\page.tsx"
"organizationname","organizationName","app\join\page.tsx"
"orgnameplaceholder","orgNamePlaceholder","app\join\page.tsx"
"contactpersonname","contactPersonName","app\join\page.tsx"
"nameplaceholder","namePlaceholder","app\join\page.tsx; app\contact\page.tsx"
"emailaddress","emailAddress","app\join\page.tsx; app\contact\page.tsx"
"phonenumber","phoneNumber","app\join\page.tsx"
"country","country","app\join\page.tsx"
"countryplaceholder","countryPlaceholder","app\join\page.tsx"
"city","city","app\join\page.tsx"
"cityplaceholder","cityPlaceholder","app\join\page.tsx"
"address","address","app\join\page.tsx"
"addressplaceholder","addressPlaceholder","app\join\page.tsx"
"describeexpertise","describeExpertise","app\join\page.tsx"
"descriptionplaceholder","descriptionPlaceholder","app\join\page.tsx"
"descriptionhelp","descriptionHelp","app\join\page.tsx"
"verificationdocuments","verificationDocuments","app\join\page.tsx"
"documentshelp","documentsHelp","app\join\page.tsx"
"requireddocuments","requiredDocuments","app\join\page.tsx"
"doc1","doc1","app\join\page.tsx"
"doc2","doc2","app\join\page.tsx"
"doc3","doc3","app\join\page.tsx"
"doc4","doc4","app\join\page.tsx"
"doc5","doc5","app\join\page.tsx"
"agreetoterms","agreeToTerms","app\join\page.tsx"
"termsandconditions","termsAndConditions","app\join\page.tsx"
"andrespondercode","andResponderCode","app\join\page.tsx"
"termsnote","termsNote","app\join\page.tsx"
"submitting","submitting","app\join\page.tsx; app\contact\page.tsx"
"whathappensnext","whatHappensNext","app\join\page.tsx"
"confirmationemail","confirmationEmail","app\join\page.tsx"
"confirmationemaildesc","confirmationEmailDesc","app\join\page.tsx"
"reviewprocess","reviewProcess","app\join\page.tsx"
"reviewprocessdesc","reviewProcessDesc","app\join\page.tsx"
"activation","activation","app\join\page.tsx"
"activationdesc","activationDesc","app\join\page.tsx"
"docstitle","docsTitle","app\docs\page.tsx"
"docssubtitle","docsSubtitle","app\docs\page.tsx"
"contents","contents","app\docs\page.tsx"
"docsoverview","docsOverview","app\docs\page.tsx"
"docsoverviewtext","docsOverviewText","app\docs\page.tsx"
"ourmission","ourMission","app\docs\page.tsx"
"missiontext","missionText","app\docs\page.tsx"
"languages","languages","app\docs\page.tsx; components\hero.tsx"
"alertspeed","alertSpeed","app\docs\page.tsx"
"available","available","app\docs\page.tsx; components\hero.tsx"
"step1title","step1Title","app\docs\page.tsx"
"step1desc","step1Desc","app\docs\page.tsx"
"step2title","step2Title","app\docs\page.tsx"
"step2desc","step2Desc","app\docs\page.tsx"
"step3title","step3Title","app\docs\page.tsx"
"step3desc","step3Desc","app\docs\page.tsx"
"step4title","step4Title","app\docs\page.tsx"
"step4desc","step4Desc","app\docs\page.tsx"
"step5title","step5Title","app\docs\page.tsx"
"step5desc","step5Desc","app\docs\page.tsx"
"step","step","app\docs\page.tsx"
"features","features","app\docs\page.tsx"
"multilingualsupport","multilingualSupport","app\docs\page.tsx"
"poweredbylingo","poweredByLingo","app\docs\page.tsx"
"lingodescription","lingoDescription","app\docs\page.tsx"
"instanttranslation","instantTranslation","app\docs\page.tsx"
"instanttransdesc","instantTransDesc","app\docs\page.tsx"
"contextaware","contextAware","app\docs\page.tsx"
"contextdesc","contextDesc","app\docs\page.tsx"
"voicesupport","voiceSupport","app\docs\page.tsx"
"voicedesc","voiceDesc","app\docs\page.tsx"
"offlinecache","offlineCache","app\docs\page.tsx"
"offlinedesc","offlineDesc","app\docs\page.tsx"
"useronboarding","userOnboarding","app\docs\page.tsx"
"gettingstarted","gettingStarted","app\docs\page.tsx"
"gettingstarteddesc","gettingStartedDesc","app\docs\page.tsx"
"createaccount","createAccount","app\docs\page.tsx"
"createaccountdesc","createAccountDesc","app\docs\page.tsx"
"enablelocation","enableLocation","app\docs\page.tsx; components\map-view.tsx"
"enablelocationdesc","enableLocationDesc","app\docs\page.tsx"
"setupnotifications","setupNotifications","app\docs\page.tsx"
"setupnotificationsdesc","setupNotificationsDesc","app\docs\page.tsx"
"chooselanguage","chooseLanguage","app\docs\page.tsx"
"chooselanguagedesc","chooseLanguageDesc","app\docs\page.tsx"
"testsystem","testSystem","app\docs\page.tsx"
"testsystemdesc","testSystemDesc","app\docs\page.tsx"
"responderonboarding","responderOnboarding","app\docs\page.tsx"
"becomeresponder","becomeResponder","app\docs\page.tsx"
"becomeresponderdesc","becomeResponderDesc","app\docs\page.tsx"
"submitapplicationdesc","submitApplicationDesc","app\docs\page.tsx"
"uploaddocuments","uploadDocuments","app\docs\page.tsx"
"uploaddocumentsdesc","uploadDocumentsDesc","app\docs\page.tsx"
"backgroundcheck","backgroundCheck","app\docs\page.tsx"
"backgroundcheckdesc","backgroundCheckDesc","app\docs\page.tsx"
"platformtraining","platformTraining","app\docs\page.tsx"
"platformtrainingdesc","platformTrainingDesc","app\docs\page.tsx"
"activateprofile","activateProfile","app\docs\page.tsx"
"activateprofiledesc","activateProfileDesc","app\docs\page.tsx"
"startapplication","startApplication","app\docs\page.tsx"
"emergencyusageguide","emergencyUsageGuide","app\docs\page.tsx"
"howtoreport","howToReport","app\docs\page.tsx"
"includeinsos","includeInSOS","app\docs\page.tsx"
"sositem1","sosItem1","app\docs\page.tsx"
"sositem2","sosItem2","app\docs\page.tsx"
"sositem3","sosItem3","app\docs\page.tsx"
"sositem4","sosItem4","app\docs\page.tsx"
"sositem5","sosItem5","app\docs\page.tsx"
"sositem6","sosItem6","app\docs\page.tsx"
"safetydos","safetyDos","app\docs\page.tsx"
"do1","do1","app\docs\page.tsx"
"do2","do2","app\docs\page.tsx"
"do3","do3","app\docs\page.tsx"
"do4","do4","app\docs\page.tsx"
"do5","do5","app\docs\page.tsx"
"safetydonts","safetyDonts","app\docs\page.tsx"
"dont1","dont1","app\docs\page.tsx"
"dont2","dont2","app\docs\page.tsx"
"dont3","dont3","app\docs\page.tsx"
"dont4","dont4","app\docs\page.tsx"
"dont5","dont5","app\docs\page.tsx"
"faq","faq","app\docs\page.tsx"
"stillhavequestions","stillHaveQuestions","app\docs\page.tsx"
"contactsupporttext","contactSupportText","app\docs\page.tsx"
"searching","Searching...","app\docs\page.tsx"
"no_results_found","No results found","app\docs\page.tsx"
"search_documentation","Search documentation...","app\docs\page.tsx"
"filetoolarge","fileTooLarge","app\contact\page.tsx; components\file-upload-v2.tsx"
"contactsupportdesc","contactSupportDesc","app\contact\page.tsx"
"contactinfo","contactInfo","app\contact\page.tsx"
"multiplewaystoreach","multipleWaysToReach","app\contact\page.tsx"
"emergencyhotline","emergencyHotline","app\contact\page.tsx"
"headquarters","headquarters","app\contact\page.tsx"
"availability","availability","app\contact\page.tsx"
"responsetime","responseTime","app\contact\page.tsx; components\hero.tsx"
"emergencyissues","emergencyIssues","app\contact\page.tsx"
"technicalsupport","technicalSupport","app\contact\page.tsx"
"generalinquiries","generalInquiries","app\contact\page.tsx"
"inemergency","inEmergency","app\contact\page.tsx"
"usesosalert","useSOSAlert","app\contact\page.tsx"
"sendsosalert","sendSOSAlert","app\contact\page.tsx; components\hero.tsx"
"livechatsoon","liveChatSoon","app\contact\page.tsx"
"livechatdesc","liveChatDesc","app\contact\page.tsx"
"requestsubmitted","requestSubmitted","app\contact\page.tsx"
"requestsubmitteddesc","requestSubmittedDesc","app\contact\page.tsx"
"ticketcreated","ticketCreated","app\contact\page.tsx"
"emailconfirmation","emailConfirmation","app\contact\page.tsx"
"teamnotified","teamNotified","app\contact\page.tsx"
"submitsupportrequest","submitSupportRequest","app\contact\page.tsx"
"fillformbelow","fillFormBelow","app\contact\page.tsx"
"yourname","yourName","app\contact\page.tsx"
"issuecategory","issueCategory","app\contact\page.tsx"
"selectcategory","selectCategory","app\contact\page.tsx"
"emergencysupport","emergencySupport","app\contact\page.tsx"
"technicalissue","technicalIssue","app\contact\page.tsx"
"accounthelp","accountHelp","app\contact\page.tsx"
"bugreport","bugReport","app\contact\page.tsx"
"featurerequest","featureRequest","app\contact\page.tsx"
"generalinquiry","generalInquiry","app\contact\page.tsx"
"categoryhelp","categoryHelp","app\contact\page.tsx"
"subject","subject","app\contact\page.tsx"
"subjectplaceholder","subjectPlaceholder","app\contact\page.tsx"
"message","message","app\contact\page.tsx"
"messageplaceholder","messagePlaceholder","app\contact\page.tsx"
"messagehelp","messageHelp","app\contact\page.tsx"
"attachment","attachment","app\contact\page.tsx"
"attachmenthelp","attachmentHelp","app\contact\page.tsx"
"submitrequest","submitRequest","app\contact\page.tsx"
"foundbug","foundBug","app\contact\page.tsx"
"bugreportinginstructions","bugReportingInstructions","app\contact\page.tsx"
"whattoinclude","whatToInclude","app\contact\page.tsx"
"bugitem1","bugItem1","app\contact\page.tsx"
"bugitem2","bugItem2","app\contact\page.tsx"
"bugitem3","bugItem3","app\contact\page.tsx"
"bugitem4","bugItem4","app\contact\page.tsx"
"bugitem5","bugItem5","app\contact\page.tsx"
"prioritylevels","priorityLevels","app\contact\page.tsx"
"critical","critical","app\contact\page.tsx"
"criticaldesc","criticalDesc","app\contact\page.tsx"
"high","high","app\contact\page.tsx"
"highdesc","highDesc","app\contact\page.tsx"
"medium","medium","app\contact\page.tsx"
"mediumdesc","mediumDesc","app\contact\page.tsx"
"low","low","app\contact\page.tsx"
"lowdesc","lowDesc","app\contact\page.tsx"
"us_1_800_sos_help","US: +1 (800) SOS-HELP","app\contact\page.tsx"
"uk_44_20_sos_help","UK: +44 20 SOS-HELP","app\contact\page.tsx"
"eu_33_1_sos_help","EU: +33 1 SOS-HELP","app\contact\page.tsx"
"san_francisco_ca","San Francisco, CA","app\contact\page.tsx"
"emergencychat","emergencyChat","app\chat\page.tsx"
"realtimemultilingualcomm","realtimeMultilingualComm","app\chat\page.tsx"
"auth_jointhenetwork","auth.joinTheNetwork","app\auth\register\page.tsx"
"auth_registerasverifiedresponder","auth.registerAsVerifiedResponder","app\auth\register\page.tsx"
"auth_alreadyhaveaccount","auth.alreadyHaveAccount","app\auth\register\page.tsx"
"auth_signin","auth.signIn","app\auth\register\page.tsx"
